PROJECT	FILE	LINE NUMBER	HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
81813780 AVLoadingIndicatorView	D:\Desenvolvimento\Projetos Github\running\81813780 AVLoadingIndicatorView\library\src\main\java\com\wang\avi\AVLoadingIndicatorView.java	176	1	java.lang.ClassNotFoundException	Checked	Java	false	false
81813780 AVLoadingIndicatorView	D:\Desenvolvimento\Projetos Github\running\81813780 AVLoadingIndicatorView\library\src\main\java\com\wang\avi\AVLoadingIndicatorView.java	178	2	java.lang.InstantiationException	Checked	Java	true	false
81813780 AVLoadingIndicatorView	D:\Desenvolvimento\Projetos Github\running\81813780 AVLoadingIndicatorView\library\src\main\java\com\wang\avi\AVLoadingIndicatorView.java	180	3	java.lang.IllegalAccessException	Checked	Java	true	false
afollestad material-dialogs	D:\Desenvolvimento\Projetos Github\running\afollestad material-dialogs\core\src\main\java\com\afollestad\materialdialogs\MaterialDialog.java	465	1	android.view.WindowManager.BadTokenException	Unchecked	Android	false	false
afollestad material-dialogs	D:\Desenvolvimento\Projetos Github\running\afollestad material-dialogs\core\src\main\java\com\afollestad\materialdialogs\MaterialDialog.java	1234	2	java.lang.Throwable	Checked	Java	false	true
afollestad material-dialogs	D:\Desenvolvimento\Projetos Github\running\afollestad material-dialogs\core\src\main\java\com\afollestad\materialdialogs\MaterialDialog.java	1244	3	java.lang.Throwable	Checked	Java	false	false
afollestad material-dialogs	D:\Desenvolvimento\Projetos Github\running\afollestad material-dialogs\core\src\main\java\com\afollestad\materialdialogs\MaterialDialog.java	1251	4	java.lang.Throwable	Checked	Java	false	false
afollestad material-dialogs	D:\Desenvolvimento\Projetos Github\running\afollestad material-dialogs\core\src\main\java\com\afollestad\materialdialogs\util\TypefaceHelper.java	38	5	java.lang.RuntimeException	Unchecked	Java	false	false
afollestad material-dialogs	D:\Desenvolvimento\Projetos Github\running\afollestad material-dialogs\core\src\main\java\com\afollestad\materialdialogs\internal\MDTintHelper.java	191	6	java.lang.NoSuchFieldException	Checked	Java	false	false
afollestad material-dialogs	D:\Desenvolvimento\Projetos Github\running\afollestad material-dialogs\core\src\main\java\com\afollestad\materialdialogs\internal\MDTintHelper.java	194	7	java.lang.Exception	Checked	Java	false	false
afollestad material-dialogs	D:\Desenvolvimento\Projetos Github\running\afollestad material-dialogs\commons\src\main\java\com\afollestad\materialdialogs\prefs\PrefUtil.java	60	8	java.lang.Exception	Checked	Java	false	true
afollestad material-dialogs	D:\Desenvolvimento\Projetos Github\running\afollestad material-dialogs\commons\src\main\java\com\afollestad\materialdialogs\prefs\PrefUtil.java	76	9	java.lang.Exception	Checked	Java	false	true
airbnb lottie-android	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-android\LottieSample\src\androidTest\java\com\airbnb\lottie\TestRobot.java	103	1	java.lang.InterruptedException	Checked	Java	false	true
airbnb lottie-android	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-android\lottie\src\main\java\com\airbnb\lottie\GradientFill.java	92	2	org.json.JSONException	Checked	Library	false	true
airbnb lottie-android	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-android\lottie\src\main\java\com\airbnb\lottie\ImageAssetManager.java	77	3	java.io.IOException	Checked	Java	false	false
airbnb lottie-android	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-android\lottie\src\main\java\com\airbnb\lottie\LottieComposition.java	174	4	java.io.IOException	Checked	Java	false	false
airbnb lottie-android	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-android\lottie\src\main\java\com\airbnb\lottie\LottieComposition.java	198	5	java.io.IOException	Checked	Java	false	false
airbnb lottie-android	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-android\lottie\src\main\java\com\airbnb\lottie\LottieComposition.java	227	6	java.io.IOException	Checked	Java	false	false
airbnb lottie-android	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-android\lottie\src\main\java\com\airbnb\lottie\LottieComposition.java	230	7	org.json.JSONException	Checked	Library	false	false
airbnb lottie-android	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-android\lottie\src\main\java\com\airbnb\lottie\Utils.java	43	8	java.lang.RuntimeException	Unchecked	Java	false	false
airbnb lottie-android	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-android\lottie\src\main\java\com\airbnb\lottie\Utils.java	45	9	java.lang.Exception	Checked	Java	false	true
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	158	1	org.json.JSONException	Checked	Library	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	173	2	org.json.JSONException	Checked	Library	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	190	3	org.json.JSONException	Checked	Library	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	207	4	org.json.JSONException	Checked	Library	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	224	5	org.json.JSONException	Checked	Library	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	241	6	org.json.JSONException	Checked	Library	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	253	7	org.json.JSONException	Checked	Library	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	265	8	org.json.JSONException	Checked	Library	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	284	9	java.lang.RuntimeException	Unchecked	Java	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	297	10	java.lang.RuntimeException	Unchecked	Java	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	310	11	java.lang.RuntimeException	Unchecked	Java	false	false
airbnb lottie-react-native	D:\Desenvolvimento\Projetos Github\running\airbnb lottie-react-native\lib\android\src\main\java\com\airbnb\android\react\lottie\JSONReadableArray.java	323	12	java.lang.RuntimeException	Unchecked	Java	false	false
