	# handlers	# handlers finais	# pacotes	# final handlers por pacotes		# final handlers of external	# resignaler handlers external -> any	# resignaler handlers external -> project		# final handlers of checked	# resignaler handlers checked -> any	# resignaler handlers checked -> unchecked		# project exceptions	# project types		# project exceptions	# subtypes of project exceptions		# handlers	# resignaler handlers	# resignaler handlers with logging actions	# final handlers	# final handlers with logging actions		# handlers	# resignaler handlers with calls to dedicated handlers	# final handlers with calls to dedicated handlers	# handlers per dedicated handler		
[112979] sixt-ja-micro	129	112	30	12 12 11 10 10 8 8 5 5 5 3 3 3 2 2 2 2 2 2 2 1 1 1 0 0 0 0 0 0 0		8	0	0		102	16	9		5	164		5	0 0 0 0 0		129	17	5	112	69		129	0	1	1		
[118568] Netflix-hollow	134	34	103	3 3 3 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		30	87	64		10	619		10	3 0 0 0 0 0 0 0 0 0		134	100	5	34	16		134	11	2	11 1 1		
[123002] spinnaker-kayenta	90	32	116	6 5 3 2 2 2 2 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		8	16	2		24	41	37		4	299		4	0 0 0 0		90	58	24	32	24		90	0	0	0		
[126169] ZoranPandovski-design-patterns	6	6	7	2 2 1 1 0 0 0		0	0	0		6	0	0		0	15		0	0		6	0	0	6	6		6	0	0	0		
[126553] Baeldung-spring-security-registration	13	10	16	6 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0		3	1	1		6	2	2		6	58		6	0 0 0 0 0 0		13	3	1	10	7		13	0	0	0		
[127558] scireum-s3ninja	16	16	1	16		1	0	0		15	0	0		0	12		0	0		16	0	0	16	0		16	0	0	0		
[134482] EsotericSoftware-yamlbeans	43	16	7	15 1 0 0 0 0 0		0	0	0		11	19	2		5	52		5	1 0 0 0 0		43	27	0	16	0		43	0	0	0		
[141269] Adobe-Consulting-Services-acs-aem-commons	501	363	202	18 16 15 13 13 12 12 10 9 9 8 7 7 7 7 7 7 7 7 6 6 6 6 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		123	55	12		207	79	6		31	714		31	5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		501	138	46	363	235		501	0	6	4 2		
[141305] feroult-yawp	145	55	51	18 7 5 4 3 2 2 2 2 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		2	7	0		33	79	73		12	231		12	0 0 0 0 0 0 0 0 0 0 0 0		145	90	0	55	0		145	0	2	2		
[143468] EvoSuite-evosuite	1293	1069	193	238 71 44 43 42 41 36 35 35 32 26 25 21 19 19 17 15 15 14 13 12 11 10 10 9 9 9 8 8 8 8 8 8 7 6 6 6 6 5 5 5 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		109	4	3		863	188	77		38	1471		38	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1293	224	21	1069	294		1293	5	248	238 5 5 4 1		
[145100] spring-cloud-spring-cloud-kubernetes	21	19	12	5 4 3 3 1 1 1 1 0 0 0 0		2	0	0		17	2	2		0	91		0	0		21	2	0	19	12		21	0	0	0		
[147266] pinterest-secor	77	35	17	12 8 5 5 2 2 1 0 0 0 0 0 0 0 0 0 0		9	9	2		22	31	26		2	121		2	0 0		77	42	4	35	23		77	0	0	0		
[151509] longcoding-moon-api-gateway	19	8	21	5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		3	0	0		4	11	6		4	77		4	0 0 0 0		19	11	0	8	2		19	0	0	0		
[154023] joel-costigliola-assertj-core	124	44	24	14 12 6 4 3 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		21	54	54		5	606		5	0 0 0 0 0		124	80	0	44	2		124	6	2	2 2 1 1 1 1		
[161920] Samuel-Oliveira-Java_NFe	251	137	44	24 13 13 13 13 13 13 13 13 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		119	12	2		18	93	0		2	967		2	1 0		251	114	0	137	1		251	0	0	0		
[165934] zerocracy-farm	99	25	46	6 5 2 2 2 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		4	14	3		20	57	32		4	366		4	0 0 0 0		99	74	2	25	6		99	5	3	6 1 1		
